# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Missouri	Missouri
Missouri	Categoria:Missouri
Missouri River	Missouri (fiume)
Mitochondrion	Mitocondrio
Mnemosyne	Mnemosine
Mobile phone	Telefono cellulare
Modem	Modem
Modernism	modernismo artistico
Modest Mussorgsky	Modest Petrovič Musorgskij
Modulation	Modulazione
Mogadishu	Mogadiscio
Moirae	Moire (mitologia)
Mold	Muffa
Moldova	Moldavia
Moldova	Categoria:Moldavia
Mole (unit)	Mole
Molecular biology	Biologia molecolare
Molecular biology	Categoria:Biologia molecolare
Molecule	Molecola
Molise	Molise
Mollusca	Mollusca
Molotov cocktail	Bomba Molotov
Molybdenum	Molibdeno
Mombasa	Mombasa
Momentum	Quantità di moto
Monaco	Principato di Monaco
Monaco	Categoria:Principato di Monaco
Monarch	Monarca
Monarchy	Monarchia
Monarchy	Categoria:Monarchia
Monastery	Monastero
Monday	Lunedì
Money	Denaro
Mongolia	Mongolia
Mongolia	Categoria:Mongolia
Mongoose	Herpestidae
Monica Seles	Monica Seles
Monism	Monismo
Monocotyledon	Liliopsida
Monomer	Monomero
Monopoly	Monopolio
Monopoly (game)	Monopoli (gioco)
Monosaccharide	Monosaccaridi
Monosodium glutamate	Glutammato monosodico
Monotheism	Monoteismo
Monotreme	Monotremata
Monroe Doctrine	Dottrina Monroe
Monrovia	Monrovia
Mons	Mons (Belgio)
Monsoon	Monsone
Mont Blanc	Monte Bianco
Montana	Montana
Montana	Categoria:Montana
Monte Carlo	Monte Carlo
Montenegro	Montenegro
Montenegro	Categoria:Montenegro
Monterrey	Monterrey
Montevideo	Montevideo
Montgomery	Montgomery (Alabama)
Month	Mese
Montpelier	Montpelier (Vermont)
Montreal	Montréal
Montserrat	Montserrat (isola)
Moon	Luna
Moose	Alces alces
Morality	Morale
Moravia	Moravia (Repubblica Ceca)
Morocco	Marocco
Morocco	Categoria:Marocco
Morpheme	Morfema
Morphine	Morfina
Morphology	Morfologia
Morphology (linguistics)	Morfologia (grammatica)
Morse code	Codice Morse
Mortar (weapon)	Mortaio
Mosaic	Mosaico
Moscow	Mosca (città)
Moscow	Categoria:Mosca
Moselle	Mosella (dipartimento francese)
Moses	Mosè
Moshe Dayan	Moshe Dayan
Mosque	Moschea
Mosquito	Culicidae
Moss	Bryophyta
Mossad	Mossad
Mosul	Mossul
Motet	Mottetto
Mother	Madre
Mother Teresa	Madre Teresa di Calcutta
Mother's Day	Festa della mamma
Motion (physics)	Moto (fisica)
Motorcycle	Motocicletta
Motto	Motto
Mount Ararat	Ararat
Mount Athos	Repubblica del Monte Athos
Mount Etna	Etna
Mount Everest	Everest
Mount Fuji	Monte Fuji
Mount Kilimanjaro	Kilimanjaro
Mount McKinley	McKinley
Mount Olympus	Olimpo (Grecia)
Mount Pinatubo	Pinatubo
Mount Rushmore	Monte Rushmore
Mount St. Helens	Monte Sant'Elena
Mount Vesuvius	Vesuvio
Mountain	Montagna
Mountain bike	Mountain bike
Mountain pass	Passo di montagna
Mountain range	Catena montuosa
Mouse (computing)	Mouse
Mozambique	Mozambico
Mozambique	Categoria:Mozambico
Mu (letter)	Mi (lettera)
Muezzin	Muezzin
Muhammad	Maometto
Muhammad Ali	Muhammad Ali
Mulberry	Morus (botanica)
Mule	Mulo
Multimedia	Multimedialità
Multiple sclerosis	Sclerosi multipla
Multiplication	Moltiplicazione
Mumbai	Bombay
Mummy	Mummia
Munich	Monaco di Baviera
Municipality	Comune
Muon	Muone
Murmansk	Murmansk
Murphy's law	Legge di Murphy
Murray Gell-Mann	Murray Gell-Mann
Musa (genus)	Banana
Musca	Mosca (costellazione)
Muscat	Mascate
Muscle	Muscolo
Muse	Muse (mitologia)
Museum	Museo
Mushroom	Fungo
Music	Musica
Music	Categoria:Musica
Musical Instrument Digital Interface	Musical Instrument Digital Interface
Musical instrument	Strumento musicale
Musical scale	Scala musicale
Musician	Musicista
Musicology	Musicologia
Musket	Moschetto
Mustelidae	Mustelidae
Mutation	Mutazione genetica
Mute Swan	Cygnus olor
Myanmar	Categoria:Birmania
Mycenae	Micene
Mycology	Micologia
Mycology	Categoria:Micologia
Myocardial infarction	Infarto miocardico acuto
Myopia	Miopia
Myriapoda	Myriapoda
Mysticism	Mistica
Myth	Mito
Mythology	Mitologia
Mythology	Categoria:Mitologia
N	N
N'Djamena	N'Djamena
NASDAQ	NASDAQ
NATO	Organizzazione del Trattato Nord Atlantico
NATO	Categoria:NATO
Nadine Gordimer	Nadine Gordimer
Nadir	Nadir (astronomia)
Nagasaki	Nagasaki
Nagoya	Nagoya
Nahuatl	Lingua nahuatl
Nail (anatomy)	Unghia
Nail (fastener)	Chiodo
Nairobi	Nairobi
Namib Desert	Deserto del Namib
Namibia	Namibia
Namibia	Categoria:Namibia
Namur (city)	Namur
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanchino
Nanotechnology	Nanotecnologia
Nantes	Nantes
Napalm	Napalm
Naples	Napoli
Napoleonic Wars	Guerre napoleoniche
Narcissus (mythology)	Narciso (mitologia)
Nashville	Nashville (Tennessee)
Nassau	Nassau
Nathaniel Hawthorne	Nathaniel Hawthorne
Nation	Nazione
National Security Agency	National Security Agency
National anthem	Inno nazionale
Nationalism	Nazionalismo
Nationalism	Categoria:Nazionalismo
Natural gas	Gas naturale
Natural language processing	Elaborazione del linguaggio naturale
Natural number	Numero naturale
Natural science	Scienze naturali
Natural selection	Selezione naturale
Nature	Natura
Naturism	Naturismo
Nauru	Nauru
Nauru	Categoria:Nauru
Nautical mile	Miglio nautico
Navigation	Categoria:Navigazione
Navigation	Navigazione
Navy	Marina militare
Nazareth	Nazaret
Nazi Germany	Germania nazista
Nazi Party	NSDAP
Nazism	Categoria:Nazismo
Neanderthal	Homo neanderthalensis
Nebraska	Nebraska
Nebraska	Categoria:Nebraska
Nebuchadrezzar II	Nabucodonosor II
Nebula	Nebulosa
Neckar	Neckar
Necktie	Cravatta
Nefertiti	Nefertiti
Negev	Deserto del Negev
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nematode	Nematoda
Nemean Lion	Leone di Nemea
Nemesis (mythology)	Nemesi
Neodymium	Neodimio
Neolithic	Neolitico
Neologism	Neologismo
Neon	Neon
Neoplatonism	Neoplatonismo
Nepal	Nepal
Nepal	Categoria:Nepal
Nephthys	Nefti
Neptune	Nettuno (astronomia)
Neptunium	Nettunio
Nereid (moon)	Nereide (astronomia)
Nero	Nerone
Nerva	Marco Cocceio Nerva
Nervous system	Sistema nervoso
Nest	Nido
Nestorianism	Nestorianesimo
Netherlands	Paesi Bassi
Netherlands	Categoria:Paesi Bassi
Netherlands Antilles	Antille olandesi
Network topology	Topologia di rete
Neurology	Neurologia
Neurology	Categoria:Neurologia
Neuron	Neurone
Neurotransmitter	Neurotrasmettitore
Neutrino	Neutrino
Neutron	Neutrone
Neutron star	Stella di neutroni
Neva River	Neva
Nevada	Nevada
Nevada	Categoria:Nevada
Neville Chamberlain	Neville Chamberlain
New Brunswick	Nuovo Brunswick
New Caledonia	Nuova Caledonia
New Delhi	Nuova Delhi
New England	New England
New Guinea	Nuova Guinea
New Hampshire	New Hampshire
New Hampshire	Categoria:New Hampshire
New Jersey	New Jersey
New Jersey	Categoria:New Jersey
New Mexico	Nuovo Messico
New Mexico	Categoria:Nuovo Messico
New Orleans	New Orleans
New South Wales	Nuovo Galles del Sud
New Testament	Nuovo Testamento
New World	Nuovo Mondo
New Year	Capodanno
New York	New York (stato)
New York	Categoria:Stato di New York
New York (disambiguation)	New York (disambigua)
New York City	New York
New York City	Categoria:New York (città)
New York Stock Exchange	New York Stock Exchange
New Zealand	Nuova Zelanda
New Zealand	Categoria:Nuova Zelanda
Newark	Newark
Newfoundland (island)	Terranova
Newfoundland and Labrador	Terranova e Labrador
Newport	Newport
Newton	Newton (unità di misura)
Niacin	Niacina
Niagara Falls	Cascate del Niagara
Niamey	Niamey
Nicaragua	Nicaragua
Nicaragua	Categoria:Nicaragua
Nice	Nizza
Nicene Creed	Simbolo niceno-costantinopolitano
Nicholas	Petrović Njegoš
Nickel	Nichel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolò Copernico
Nicosia	Nicosia (Cipro)
Nicotine	Nicotina
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Niger	Categoria:Niger
Niger River	Niger (fiume)
Nigeria	Nigeria
Nigeria	Categoria:Nigeria
Night	Notte (parte del giorno)
Nightingale	Luscinia megarhynchos
Nihilism	Nichilismo
Nijmegen	Nimega
Nike	Nike, Inc.
Nike (mythology)	Nike (mitologia)
Nikita Khrushchev	Nikita Sergeevič Chruščëv
Nikola Tesla	Nikola Tesla
Nile	Nilo
Nile crocodile	Crocodylus niloticus
Nineveh	Ninive
Ninja	Ninja
Niobium	Niobio
Nirvana	Nirvana (religione)
Nitric acid	Acido nitrico
Nitrogen	Azoto
Nitroglycerin	Nitroglicerina
Nix (moon)	Notte (astronomia)
Njord	Njörðr
Noah	Noè
Noam Chomsky	Noam Chomsky
Nobel Prize	Premio Nobel
Nobel Prize	Categoria:Premio Nobel
Nobelium	Nobelio
Nobility	Nobiltà
Nobility	Categoria:Nobiltà
Noble gas	Gas nobili
Nomad	Popoli nomadi
Nominative case	Nominativo
Nonmetal	Non metallo
Norfolk	Norfolk
Norfolk Island	Isola Norfolk
Norma (constellation)	Regolo (costellazione)
Normal distribution	Variabile casuale normale
Norman Mailer	Norman Mailer
Normandy	Normandia
Norn	Norne
Norse mythology	Mitologia norrena
Norse mythology	Categoria:Mitologia norrena
North	Nord
North Africa	Nordafrica
North America	America settentrionale
North America	Categoria:America settentrionale
North Carolina	Carolina del Nord
North Carolina	Categoria:Carolina del Nord
North Dakota	Dakota del Nord
North Dakota	Categoria:Dakota del Nord
North Island	Isola del Nord
North Korea	Corea del Nord
North Korea	Categoria:Corea del Nord
North Pole	Polo Nord
North Sea	Mar del Nord
North Yorkshire	North Yorkshire
Northern Europe	Europa settentrionale
Northern Hemisphere	Emisfero boreale
Northern Ireland	Irlanda del Nord
Northern Ireland	Categoria:Irlanda del Nord
Northern Mariana Islands	Isole Marianne Settentrionali
Northern Territory	Territorio del Nord
Northern pike	Esox lucius
Northwest Territories	Territori del Nord-Ovest
Norway	Norvegia
Norway	Categoria:Norvegia
Norwegian Sea	Mare di Norvegia
Norwegian krone	Corona norvegese
Nose	Naso
Nostradamus	Nostradamus
Note	Nota musicale
Nouakchott	Nouakchott
Noun	Sostantivo
Nova Scotia	Nuova Scozia
Novaya Zemlya	Novaja Zemlja
Novel	Romanzo
November	Novembre
November 1	1º novembre
November 11	11 novembre
November 2	2 novembre
November 5	5 novembre
Novial	Novial
Novosibirsk	Novosibirsk
Nu (letter)	Ni (lettera)
Nuclear fission	Fissione nucleare
Nuclear fusion	Fusione nucleare
Nuclear physics	Fisica nucleare e subnucleare
Nuclear power	Energia nucleare
Nuclear weapon	Arma nucleare
Nucleic acid	Acido nucleico
Nucleon	Nucleone
Nucleotide	Nucleotide
Number	Numero
Numbers	Categoria:Numeri
Numidia	Numidia
Numismatics	Numismatica
Numismatics	Categoria:Numismatica
Nunavut	Nunavut
Nuremberg	Norimberga
Nut (fruit)	Frutta secca
Nutmeg	Noce moscata
Nymph	Ninfa (mitologia)
Nymphaeaceae	Nymphaeaceae
Nyx (mythology)	Notte (mitologia)
O	O
OPEC	Organizzazione dei Paesi Esportatori di Petrolio
Oahu	Oahu
Oak	Quercus
Oakland	Oakland (California)
Oasis	Oasi
Oat	Avena sativa
Oaxaca	Oaxaca (stato)
Ob River	Ob' (fiume)
Obelisk	Obelisco
Obesity	Obesità
Object-oriented programming	Programmazione orientata agli oggetti
Oboe	Oboe
Observatory	Osservatorio astronomico
Obsidian	Ossidiana
Occam's razor	Rasoio di Occam
Ocean	Oceano
Ocean current	Corrente oceanica
Oceania	Oceania
Oceania	Categoria:Oceania
Oceanid	Oceanine
Oceanography	Oceanografia
Oceanography	Categoria:Oceanografia
Oceanus	Oceano (mitologia)
Octal	Sistema numerico ottale
Octans	Ottante (costellazione)
Octave	Ottava (musica)
October	Ottobre
October 12	12 ottobre
October 24	24 ottobre
October Revolution	Rivoluzione d'ottobre
Ode	Ode
Oder River	Oder
Odessa	Odessa
Odin	Odino
Odonata	Odonata
Odysseus	Ulisse
Odyssey	Odissea
Oedipus	Edipo (mitologia)
Offside (football)	Fuorigioco
Ohio	Ohio
Ohio	Categoria:Ohio
Ohm	Ohm
Ohm's law	Legge di Ohm
Oil	Olio
Oil (disambiguation)	Olio
Oil painting	Pittura ad olio
Okapi	Okapia johnstoni
Oklahoma	Oklahoma
Oklahoma	Categoria:Oklahoma
Oklahoma City	Oklahoma City
Oktoberfest	Oktoberfest
Old Church Slavonic	Antico slavo ecclesiastico
Old Norse	Lingua norrena
Old Testament	Antico Testamento
Oligarchy	Oligarchia
Oligocene	Oligocene
Oligopoly	Oligopolio
Olive	Olea europaea
Olive oil	Olio di oliva
Oliver Cromwell	Oliver Cromwell
Oliver Stone	Oliver Stone
Olivine	Olivina
Olympia	Olympia (Washington)
Olympia	Olimpia
Olympic Games	Giochi Olimpici
Olympics	Categoria:Olimpiadi
Omaha	Omaha (Nebraska)
Oman	Oman
Oman	Categoria:Oman
Omega	Omega (lettera)
Omicron	Omicron (lettera)
Omsk	Omsk
Oncology	Categoria:Oncologia
Onion	Allium cepa
Onomastics	Onomastica
Ontario	Ontario
Ontario	Categoria:Ontario
Ontology	Ontologia
Oort cloud	Nube di Oort
Opal	Opale
Opel	Opel
Opera	Opera
Opera (Internet suite)	Opera (browser)
Operating system	Sistema operativo
Operetta	Operetta
Ophiuchus	Ofiuco (costellazione)
Opium	Oppio
Optical fiber	Fibra ottica
Optical illusion	Illusione ottica
Optics	Ottica
Optics	Categoria:Ottica
Optimization (mathematics)	Ottimizzazione (matematica)
Oral sex	Sesso orale
Orange (colour)	Arancione
Orange (fruit)	Citrus × sinensis
Orangutan	Pongo (zoologia)
Oratorio	Oratorio (musica)
Orbit	Orbita
Orca	Orcinus orca
Orchestra	Orchestra
Orchidaceae	Orchidaceae
Order (biology)	Ordine (tassonomia)
Order of Saint Benedict	Ordine di San Benedetto
Ordovician	Ordoviciano
Oregano	Origanum vulgare
Oregon	Oregon
Oregon	Categoria:Oregon
Orestes (mythology)	Oreste (mitologia)
Organ (anatomy)	Organo (anatomia)
Organ (music)	Organo (musica)
Organelle	Organulo
Organic chemistry	Chimica organica
Organic chemistry	Categoria:Chimica organica
Organic compound	Composto organico
Organism	Organismo vivente
Organization	Organizzazione
Organization of American States	Organizzazione degli Stati Americani
Orgasm	Orgasmo
Origami	Origami
Origen	Origene Adamantio
Original sin	Peccato originale
Orinoco	Orinoco
Orion (constellation)	Orione (costellazione)
Orissa	Orissa
Orlando	Orlando (Florida)
Ornithology	Ornitologia
Orpheus	Orfeo
Orson Welles	Orson Welles
Orthography	Ortografia
Osaka	Ōsaka
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oscillation	Oscillazione
Osiris	Osiride
Oslo	Oslo
Osman I	Osman I
Osmium	Osmio
Osprey	Pandion haliaetus
Osteichthyes	Osteichdsethyes
Osteoporosis	Osteoporosi
Ostrava	Ostrava
Ostrich	Struthio camelus
Othello	Otello
Otho	Otone
Ottawa	Ottawa
Otto Hahn	Otto Hahn
Otto I	Ottone I del Sacro Romano Impero
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Impero ottomano
Ottoman Empire	Categoria:Impero ottomano
Ounce	Oncia (unità di misura)
Ovary	Ovaia
Ovid	Publio Ovidio Nasone
Oviedo	Oviedo
Ovis	Ovis
Owl	Strigiformes
Oxford	Oxford
Oxidation state	Stato di ossidazione
Oxide	Ossido
Oxygen	Ossigeno
Oxymoron	Ossimoro
Oxytocin	Ossitocina
Ozone	Ozono
Ozone layer	Ozonosfera
P	P
PAL	Phase alternating line
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Oceano Pacifico
Pacifism	Pacifismo
Padua	Padova
Paganism	Paganesimo
Painting	Categoria:Pittura
Pakistan	Pakistan
Pakistan	Categoria:Pakistan
Palace of Versailles	Reggia di Versailles
Palau	Palau (stato)
Palau	Categoria:Palau
Paleocene	Paleocene
Paleolithic	Paleolitico
Paleontology	Paleontologia
Paleontology	Categoria:Paleontologia
Paleozoic	Paleozoico
Palermo	Palermo
Palestine	Palestina
Palestine	Categoria:Palestina
Palestine Liberation Organization	Organizzazione per la Liberazione della Palestina
Palestinian National Authority	Autorità Nazionale Palestinese
Pali	Lingua pali
Palindrome	Palindromo
Palladium	Palladio (elemento)
Palm Sunday	Domenica delle Palme
Palmyra	Palmira
Pamir Mountains	Pamir
Pan (mythology)	Pan
Panama	Panamá
Panama	Categoria:Panamá
Panama Canal	Canale di Panama
Panama City	Panamá (città)
Pancreas	Pancreas
Pandemic	Pandemia
Pandora	Pandora
Pangaea	Pangea
Pantheism	Panteismo
Pantheon	Pantheon (Roma)
Panthera	Panthera
Papal States	Stato Pontificio
Papua New Guinea	Papua Nuova Guinea
Papua New Guinea	Categoria:Papua Nuova Guinea
Papyrus	Papiro
Parabola	Parabola (geometria)
Paracelsus	Paracelso
Parachute	Paracadute
Paradigm	Paradigma
Paradox	Paradosso
Paragliding	Parapendio
Paraguay	Paraguay
Paraguay	Categoria:Paraguay
Parallax	Parallasse
Parallelogram	Parallelogramma
Paramaribo	Paramaribo
Paranoia	Paranoia
Paraphilia	Parafilia
Parapsychology	Parapsicologia
Parasitism	Parassitismo
Parchment	Pergamena
Paris	Parigi
Paris	Categoria:Parigi
Paris (mythology)	Paride
Parity (mathematics)	Numeri pari e dispari
Parkinson's disease	Morbo di Parkinson
Parliament	Parlamento
Parmenides	Parmenide di Elea
Parody	Parodia
Parrot	Psittaciformes
Parsec	Parsec
Parsley	Petroselinum crispum
Parthenon	Partenone
Parthia	Parti
Particle physics	Fisica delle particelle
Particle physics	Categoria:Fisica delle particelle
Parvati	Parvati
Pascal	Pascal
Pascal (programming language)	Pascal (linguaggio)
Pascal (unit)	Pascal (unità di misura)
Passerine	Passeriformes
Passover	Pesach
Passport	Passaporto
Password	Password
Pasteurization	Pastorizzazione
Patagonia	Patagonia
Patent	Brevetto
Pathology	Patologia
Patras	Patrasso
Patriarch	Patriarca (cristianesimo)
Patrick White	Patrick White
Patriotism	Patriottismo
Paul Gauguin	Paul Gauguin
Paul Johann Ludwig von Heyse	Paul Johann Ludwig Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Paul Verlaine	Paul Verlaine
Paul the Apostle	Paolo di Tarso
Paul von Hindenburg	Paul von Hindenburg
Pauli exclusion principle	Principio di esclusione di Pauli
Pavo (constellation)	Pavone (costellazione)
Pawn (chess)	Pedone (scacchi)
Pays de la Loire	Loira (regione francese)
Pea	Pisum sativum
Peace	Pace
Peace of Westphalia	Pace di Westfalia
Peach	Prunus persica
Peanut	Arachis hypogaea
Pear	Pera
Pearl	Perla
Pearl Harbor	Pearl Harbor
Peat	Torba
Pedagogy	Pedagogia
Pedagogy	Categoria:Pedagogia
Pediatrics	Pediatria
Pedophilia	Pedofilia
Pedunculate Oak	Quercus robur
Pegasus	Pegaso (mitologia)
Pegasus (constellation)	Pegaso (costellazione)
Peloponnese	Peloponneso
Peloponnesian War	Guerra del Peloponneso
Pencil	Matita
Pendulum	Pendolo
Penelope	Penelope (mitologia)
Penguin	Pinguino
Penicillin	Penicillina
Peninsula	Penisola
Pennsylvania	Pennsylvania
Pennsylvania	Categoria:Pennsylvania
Pentagon	Pentagono (geometria)
Pentagram	Pentagramma (geometria)
Pentecost	Pentecoste
Pentecostalism	Pentecostalismo
People	Categoria:Persone
People's Republic of China	Cina
Pepin the Short	Pipino il Breve
Pepsi	Pepsi Cola
Peptide	Peptide
Percentage	Percentuale
Perception	Percezione
Perciformes	Perciformes
Percussion instrument	Strumento a percussione
Percy Bysshe Shelley	Percy Bysshe Shelley
Peregrine Falcon	Falco peregrinus
Perestroika	Perestrojka
Perfume	Profumo
Pericles	Pericle
Period (periodic table)	Periodo della tavola periodica
Periodic table	Tavola periodica
Perm	Perm'
Permafrost	Permafrost
Permian	Permiano (geologia)
Permutation	Permutazione
Pernambuco	Pernambuco
Perpetual motion	Moto perpetuo
Persephone	Persefone
Persepolis	Persepoli
Perseus	Perseo (mitologia)
Perseus (constellation)	Perseo (costellazione)
Persian Empire	Persia
Persian Gulf	Golfo Persico
Personal digital assistant	Palmare
Perth	Perth
Peru	Perù
Peru	Categoria:Perù
Pesticide	Pesticida
Peter Abelard	Pietro Abelardo
Peter Paul Rubens	Pieter Paul Rubens
Peter Sellers	Peter Sellers
Petrarch	Francesco Petrarca
Petroleum	Petrolio
Petrology	Petrologia
Phanerozoic	Fanerozoico
Pharaoh	Faraone
Pharmacology	Farmacologia
Pharynx	Faringe
Phase (matter)	Fase (chimica)
Phenol	Fenolo
Phenomenology	Fenomenologia
Phenotype	Fenotipo
Phenylalanine	Fenilalanina
Phenylketonuria	Fenilchetonuria
Phi (letter)	Phi (lettera)
Philadelphia	Filadelfia (Pennsylvania)
Philately	Filatelia
Philately	Categoria:Filatelia
Philip II of Macedon	Filippo II di Macedonia
Philip II of Spain	Filippo II di Spagna
Philipp Lenard	Philipp von Lenard
Philippine Sea	Mare delle Filippine
Philippines	Filippine
Philippines	Categoria:Filippine
Philology	Filologia
Philology	Categoria:Filologia
Philosopher's stone	Pietra filosofale
Philosophy	Filosofia
Philosophy	Categoria:Filosofia
Philosophy	Portale:Filosofia
Phnom Penh	Phnom Penh
Phobia	Fobia
Phobos (moon)	Fobos (astronomia)
Phoenicia	Fenici
Phoenix	Phoenix (Arizona)
Phoenix	Phoenix
Phoenix (constellation)	Fenice (costellazione)
Phoenix (mythology)	Fenice
Phoenix (spacecraft)	Phoenix Mars Lander
Phoneme	Fonema
Phonetics	Fonetica
Phonetics	Categoria:Fonetica
Phonology	Fonologia
Phosphate	Gruppo fosfato
Phosphoric acid	Acido fosforico
Phosphorus	Fosforo
Photography	Fotografia
Photography	Categoria:Fotografia
Photon	Fotone
Photosphere	Fotosfera
Photosynthesis	Fotosintesi clorofilliana
Phylum	Phylum
Physical chemistry	Chimica fisica
Physical chemistry	Categoria:Chimica fisica
Physician	Medico
Physics	Fisica
Physics	Categoria:Fisica
Physics	Portale:Fisica
Physiology	Fisiologia
Physiology	Categoria:Fisiologia
Pi	Pi greco
Pi (letter)	Pi (lettera greca)
Piano	Pianoforte
Picardie	Piccardia
Piciformes	Piciformes
Pictor	Pittore (costellazione)
Pidgin	Pidgin
Pidgin (software)	Pidgin (software)
Piedmont	Piemonte
Pierre	Pierre (Dakota del Sud)
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Piet Mondrian	Piet Mondrian
Pieter Zeeman	Pieter Zeeman
Pigment	Pigmento
Pilsen	Plzeň
Pinaceae	Pinaceae
Pindar	Pindaro
Pine	Pinus
Pineapple	Ananas comosus
Ping	Ping
Pink	Rosa (colore)
Pinniped	Pinnipedia
Piracy	Pirateria
Pisa	Pisa'
Pisces (constellation)	Pesci (costellazione)
Piston	Pistone (meccanica)
Pittsburgh	Pittsburgh
Pituitary gland	Ipofisi
Pixel	Pixel
Pizza	Pizza
Plagiarism	Plagio (diritto)
Plane (mathematics)	Piano (geometria)
Planet	Pianeta
Planetary nebula	Nebulosa planetaria
Plankton	Plancton
Plant	Plantae
Plasma (physics)	Fisica del plasma
Plasmid	Plasmide
Plastic	Materie plastiche
Plastid	Plastidio
Plate tectonics	Tettonica a zolle
Platelet	Piastrina
Platinum	Platino
Plato	Platone
Platypus	Ornithorhynchus anatinus
Playboy	Playboy
Playing card	Carta da gioco
Pleiades (star cluster)	Pleiadi (astronomia)
Pleistocene	Pleistocene
Pleven	Pleven
Pliny the Elder	Gaio Plinio Secondo
Pliny the Younger	Gaio Plinio Cecilio Secondo
