0 (number)	0 (число)
Mike Tyson	Тайсон, Майк
Mikhail Bakunin	Бакунин, Михаил Александрович
Mikhail Glinka	Глинка, Михаил Иванович
Mikhail Gorbachev	Горбачёв, Михаил Сергеевич
Milan	Милан
Mile	Миля
Miles Davis	Дэвис, Майлз
Military	Категория:Военное дело
Military rank	Воинское звание
Milk	Молоко
Milky Way	Млечный Путь
Millard Fillmore	Филлмор, Миллард
Millennium	Тысячелетие
Millimetre	Миллиметр
Million	Миллион
Millipede	Многоножки
Milton Friedman	Фридман, Милтон
Milwaukee	Милуоки (Висконсин)
Minaret	Минарет
Mindanao	Минданао (остров)
Mineral	Минерал
Mineral water	Минеральная вода
Mineralogy	Минералогия
Mineralogy	Категория:Минералогия
Minerva	Минерва
Ming Dynasty	Мин (династия)
Minimalism	Минимализм
Mining	Горное дело
Minister (government)	Министр
Minneapolis	Миннеаполис
Minnesota	Миннесота
Minnesota	Категория:Миннесота
Minoan civilization	Минойская цивилизация
Minor scale	Минор
Minos	Минос
Minotaur	Минотавр
Minsk	Минск
Minute	Минута
Miocene	Миоцен
Miracle	Чудо
Mirror	Зеркало
Mishnah	Мишна
Mississippi	Категория:Миссисипи
Mississippi River	Миссисипи (река)
Missouri	Миссури (штат)
Missouri	Категория:Миссури
Missouri River	Миссури (река)
Mitochondrion	Митохондрия
Mnemosyne	Мнемозина
Mobile phone	Сотовый телефон
Modem	Модем
Modernism	Модернизм
Modest Mussorgsky	Мусоргский, Модест Петрович
Modulation	Модуляция
Mogadishu	Могадишо
Moirae	Мойры
Mold	Плесневые грибы
Moldova	Молдавия
Moldova	Категория:Молдавия
Mole (unit)	Моль
Molecular biology	Молекулярная биология
Molecular biology	Категория:Молекулярная биология
Molecule	Молекула
Molise	Молизе
Mollusca	Моллюски
Molotov cocktail	Коктейль Молотова
Molybdenum	Молибден
Mombasa	Момбаса
Momentum	Импульс
Monaco	Монако
Monaco	Категория:Монако
Monarch	Монарх
Monarchy	Монархия
Monarchy	Категория:Монархия
Monastery	Монастырь
Monday	Понедельник
Money	Деньги
Mongolia	Монголия
Mongolia	Категория:Монголия
Mongoose	Мангустовые
Monica Seles	Селеш, Моника
Monism	Монизм
Monocotyledon	Однодольные
Monomer	Мономер
Monopoly	Монополия
Monopoly (game)	Монополия (игра)
Monosaccharide	Моносахариды
Monosodium glutamate	Глутамат натрия
Monotheism	Монотеизм
Monotreme	Однопроходные
Monroe Doctrine	Доктрина Монро
Monrovia	Монровия
Monsoon	Муссон
Mont Blanc	Монблан
Montana	Монтана
Montana	Категория:Монтана (штат)
Monte Carlo	Монте-Карло
Montenegro	Черногория
Montenegro	Категория:Черногория
Monterrey	Monterrey
Montevideo	Монтевидео
Montgomery	Монтгомери (Алабама)
Month	Месяц
Montpelier	Монтпилиер (Вермонт)
Montreal	Монреаль
Montserrat	Монтсеррат
Moon	Луна
Moose	Лось
Morality	Мораль
Moravia	Моравия
Morocco	Марокко
Morocco	Категория:Марокко
Morpheme	Морфема
Morphine	Морфин
Morphology	Морфологический анализ
Morphology (linguistics)	Морфология (лингвистика)
Morse code	Азбука Морзе
Mortar (weapon)	Миномёт
Mosaic	Мозаика
Moscow	Москва
Moscow	Категория:Москва
Moselle	Мозель (департамент)
Moses	Моисей
Moshe Dayan	Даян, Моше
Mosque	Мечеть
Mosquito	Комар
Moss	Мох
Mossad	Моссад
Mosul	Мосул
Motet	Мотет
Mother Teresa	Мать Тереза
Mother's Day	День матери
Motion (physics)	Механическое движение
Motorcycle	Мотоцикл
Motto	Девиз
Mount Ararat	Арарат
Mount Athos	Афон
Mount Etna	Этна
Mount Everest	Джомолунгма
Mount Fuji	Фудзи
Mount Kilimanjaro	Килиманджаро
Mount McKinley	Мак-Кинли (гора)
Mount Olympus	Олимп
Mount Pinatubo	Пинатубо
Mount Rushmore	Рашмор
Mount St. Helens	Сент-Хеленс (вулкан)
Mount Vesuvius	Везувий
Mountain	Гора
Mountain bike	Горный велосипед
Mountain pass	Перевал
Mountain range	Горный хребет
Mouse (computing)	Компьютерная мышь
Mozambique	Мозамбик
Mozambique	Категория:Мозамбик
Mu (letter)	Мю (буква)
Muezzin	Муэдзин
Muhammad	Мухаммед
Muhammad Ali	Али, Мохаммед
Mulberry	Шелковица
Mule	Мул
Multimedia	Мультимедиа
Multiple sclerosis	Рассеянный склероз
Multiplication	Умножение
Mumbai	Мумбаи
Mummy	Мумия
Munich	Мюнхен
Municipality	Муниципалитет
Muon	Мюон
Murmansk	Мурманск
Murphy's law	Закон Мерфи
Murray Gell-Mann	Гелл-Манн, Мюррей
Musa (genus)	Банан
Musca	Муха (созвездие)
Muscat	Маскат
Muscle	Мышцы
Muse	Музы
Museum	Музей
Mushroom	Грибы
Music	Музыка
Music	Категория:Музыка
Musical Instrument Digital Interface	MIDI
Musical instrument	Музыкальный инструмент
Musical scale	Звукоряд
Musician	Музыкант
Musicology	Музыковедение
Musket	Мушкет
Mustelidae	Куньи
Mutation	Мутация
Mute Swan	Лебедь-шипун
Myanmar	Категория:Мьянма
Mycenae	Микены
Mycology	Микология
Mycology	Категория:Микология
Myocardial infarction	Острый инфаркт миокарда
Myopia	Близорукость
Myriapoda	Многоножки
Mysticism	Мистицизм
Myth	Миф
Mythology	Мифология
Mythology	Категория:Мифология
N	N (латиница)
N'Djamena	Нджамена
NASDAQ	NASDAQ
NATO	Организация Североатлантического договора
NATO	Категория:НАТО
Nadine Gordimer	Гордимер, Надин
Nadir	Небесная сфера
Nagasaki	Нагасаки
Nagoya	Нагоя
Nahuatl	Астекские языки
Nail (anatomy)	Ногти
Nail (fastener)	Гвоздь
Nairobi	Найроби
Namib Desert	Намиб
Namibia	Намибия
Namibia	Категория:Намибия
Namur (city)	Намюр
Nancy	Нанси
Nanga Parbat	Нанга Парбат
Nanjing	Нанкин
Nanotechnology	Нанотехнология
Nantes	Нант
Napalm	Напалм
Naples	Неаполь
Napoleonic Wars	Наполеоновские войны
Narcissus (mythology)	Нарцисс (мифология)
Nashville	Нашвилл (Теннесси)
Nassau	Нассау (Багамы)
Nathaniel Hawthorne	Готорн, Натаниел
Nation	Нация
National Security Agency	Агентство национальной безопасности (США)
National anthem	Государственный гимн
National park	Национальный парк
Nationalism	Национализм
Nationalism	Категория:Национализм
Natural gas	Природный газ
Natural language processing	Обработка естественного языка
Natural number	Натуральное число
Natural science	Естествознание
Natural selection	Естественный отбор
Nature	Природа
Nature	Категория:Природа
Naturism	Натуризм
Nauru	Науру
Nauru	Категория:Науру
Nautical mile	Морская миля
Navigation	Категория:Навигация
Navigation	Навигация
Navy	Военно-морской флот
Nazareth	Назарет
Nazi Germany	Третий рейх
Nazi Germany	Категория:Третий рейх
Nazi Party	Национал-социалистическая немецкая рабочая партия
Nazism	Категория:Нацизм
Neanderthal	Неандерталец
Nebraska	Небраска
Nebraska	Категория:Небраска
Nebuchadrezzar II	Навуходоносор II
Nebula	Туманность
Neckar	Неккар (река)
Necktie	Галстук
Nefertiti	Нефертити
Negev	Негев
Neil Armstrong	Армстронг, Нейл Олден
Nelson Mandela	Мандела, Нельсон Ролихлахла
Nematode	Нематоды
Nemean Lion	Немейский лев
Nemesis (mythology)	Немезида
Neodymium	Неодим
Neolithic	Неолит
Neologism	Неологизм
Neon	Неон
Neoplatonism	Неоплатонизм
Nepal	Непал
Nepal	Категория:Непал
Nephthys	Нефтида
Neptune	Нептун (планета)
Neptunium	Нептуний
Nereid (moon)	Нереида (спутник)
Nero	Нерон
Nerva	Нерва
Nervous system	Нервная система
Nervous system	Категория:Нервная система
Nest	Гнездо
Nestorianism	Несторианство
Netherlands	Нидерланды
Netherlands	Категория:Нидерланды
Netherlands Antilles	Нидерландские Антильские острова
Network topology	Сетевая топология
Neurology	Неврология
Neurology	Категория:Неврология
Neuron	Нейроны
Neurotransmitter	Нейромедиатор
Neutrino	Нейтрино
Neutron	Нейтрон
Neutron star	Нейтронная звезда
Neva River	Нева
Nevada	Невада
Nevada	Категория:Невада
Neville Chamberlain	Чемберлен, Невилл
New Brunswick	Нью-Брансуик
New Caledonia	Новая Каледония
New Delhi	Нью-Дели
New England	Новая Англия
New Guinea	Новая Гвинея
New Hampshire	Нью-Гэмпшир
New Jersey	Нью-Джерси
New Jersey	Категория:Нью-Джерси
New Mexico	Нью-Мексико
New Mexico	Категория:Нью-Мексико
New Orleans	Новый Орлеан
New South Wales	Новый Южный Уэльс
New Testament	Новый Завет
New World	Новый Свет (Америка)
New Year	Новый год
New York	Нью-Йорк (штат)
New York	Категория:Нью-Йорк (штат)
New York (disambiguation)	Нью-Йорк (значения)
New York City	Нью-Йорк
New York City	Категория:Нью-Йорк
New York Stock Exchange	Нью-Йоркская фондовая биржа
New Zealand	Новая Зеландия
New Zealand	Категория:Новая Зеландия
Newark	Ньюарк (Нью-Джерси)
Newfoundland (island)	Ньюфаундленд (остров)
Newfoundland and Labrador	Ньюфаундленд и Лабрадор
Newport	Ньюпорт
Newton	Ньютон (единица измерения)
Niacin	Никотиновая кислота
Niagara Falls	Ниагарский водопад
